"Tab id","Referer","Timestamp","Event","Element Id","X Path","Which","Extra Info"
"8","https://www.google.com/","1623871435310","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","-"
"8","https://www.google.com/","1623871435311","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","-"
"8","https://www.google.com/","1623871435311","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","632x160|702x316"
"8","https://www.google.com/","1623871435326","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","627x162|697x318"
"8","https://www.google.com/","1623871435343","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","622x162|691x319"
"8","https://www.google.com/","1623871435360","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","614x162|683x319"
"8","https://www.google.com/","1623871435988","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","613x162|682x319"
"8","https://www.google.com/","1623871436009","mouseout","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1",""
"8","https://www.google.com/","1623871436009","mouseleave","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","-"
"8","https://www.google.com/","1623871436010","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/9/a/1","1","-"
"8","https://www.google.com/","1623871436010","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/9/a/1","1","-"
"8","https://www.google.com/","1623871436011","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/9/a/1","1","600x163|667x319"
"8","https://www.google.com/","1623871436027","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/9/a/1","1","590x165|656x321"
"8","https://www.google.com/","1623871436043","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/9/a/1","1","579x166|643x323"
"8","https://www.google.com/","1623871436059","mouseout","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/9/a/1","1",""
"8","https://www.google.com/","1623871436061","mouseleave","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/9/a/1","1","-"
"8","https://www.google.com/","1623871436061","mouseover","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1","-"
"8","https://www.google.com/","1623871436061","mouseenter","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1","-"
"8","https://www.google.com/","1623871436062","mousemove","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1","532x174|592x332"
"8","https://www.google.com/","1623871436076","mousemove","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1","495x180|550x339"
"8","https://www.google.com/","1623871436093","mousemove","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1","474x185|527x344"
"8","https://www.google.com/","1623871436109","mousemove","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1","462x187|513x346"
"8","https://www.google.com/","1623871436127","mousemove","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1","452x189|502x348"
"8","https://www.google.com/","1623871436360","scroll","-","-","-","0x11"
"8","https://www.google.com/","1623871436377","scroll","-","-","-","0x29"
"8","https://www.google.com/","1623871436393","scroll","-","-","-","0x58"
"8","https://www.google.com/","1623871436410","scroll","-","-","-","0x176"
"8","https://www.google.com/","1623871436427","scroll","-","-","-","0x258"
"8","https://www.google.com/","1623871436443","scroll","-","-","-","0x278"
"8","https://www.google.com/","1623871436476","scroll","-","-","-","0x325"
"8","https://www.google.com/","1623871436493","scroll","-","-","-","0x391"
"8","https://www.google.com/","1623871436510","scroll","-","-","-","0x463"
"8","https://www.google.com/","1623871436526","scroll","-","-","-","0x536"
"8","https://www.google.com/","1623871436543","scroll","-","-","-","0x607"
"8","https://www.google.com/","1623871436560","scroll","-","-","-","0x675"
"8","https://www.google.com/","1623871436577","scroll","-","-","-","0x740"
"8","https://www.google.com/","1623871436593","scroll","-","-","-","0x806"
"8","https://www.google.com/","1623871436609","scroll","-","-","-","0x869"
"8","https://www.google.com/","1623871436625","mouseout","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1",""
"8","https://www.google.com/","1623871436625","mouseleave","js-repo-pjax-container","/html/1/body/2/div/9/div/1/main/1","1","-"
"8","https://www.google.com/","1623871436625","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/3/div/1/div/1/div/3/div/1/readme-toc/6/div/1/div/5/article/1","1","-"
"8","https://www.google.com/","1623871436625","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/3/div/1/div/1/div/3/div/1/readme-toc/6/div/1/div/5/article/1","1","-"
"8","https://www.google.com/","1623871436627","scroll","-","-","-","0x927"
"8","https://www.google.com/","1623871436643","scroll","-","-","-","0x981"
"8","https://www.google.com/","1623871436660","scroll","-","-","-","0x1032"
"8","https://www.google.com/","1623871436677","scroll","-","-","-","0x1080"
"8","https://www.google.com/","1623871436694","scroll","-","-","-","0x1124"
"8","https://www.google.com/","1623871436710","scroll","-","-","-","0x1165"
"8","https://www.google.com/","1623871436726","scroll","-","-","-","0x1202"
"8","https://www.google.com/","1623871436743","scroll","-","-","-","0x1237"
"8","https://www.google.com/","1623871436760","scroll","-","-","-","0x1268"
"8","https://www.google.com/","1623871436777","scroll","-","-","-","0x1298"
"8","https://www.google.com/","1623871436793","scroll","-","-","-","0x1325"
"8","https://www.google.com/","1623871436810","scroll","-","-","-","0x1350"
"8","https://www.google.com/","1623871436827","scroll","-","-","-","0x1373"
"8","https://www.google.com/","1623871436844","scroll","-","-","-","0x1393"
"8","https://www.google.com/","1623871436860","scroll","-","-","-","0x1412"
"8","https://www.google.com/","1623871436876","scroll","-","-","-","0x1429"
"8","https://www.google.com/","1623871436893","scroll","-","-","-","0x1445"
"8","https://www.google.com/","1623871436910","scroll","-","-","-","0x1459"
"8","https://www.google.com/","1623871436926","scroll","-","-","-","0x1472"
"8","https://www.google.com/","1623871436943","scroll","-","-","-","0x1483"
"8","https://www.google.com/","1623871436960","scroll","-","-","-","0x1494"
"8","https://www.google.com/","1623871436977","scroll","-","-","-","0x1504"
"8","https://www.google.com/","1623871436993","scroll","-","-","-","0x1513"
"8","https://www.google.com/","1623871437010","scroll","-","-","-","0x1521"
"8","https://www.google.com/","1623871437027","scroll","-","-","-","0x1528"
"8","https://www.google.com/","1623871437043","scroll","-","-","-","0x1535"
"8","https://www.google.com/","1623871437082","scroll","-","-","-","0x1536"
"8","https://www.google.com/","1623871437094","scroll","-","-","-","0x1540"
"8","https://www.google.com/","1623871437110","scroll","-","-","-","0x1546"
"8","https://www.google.com/","1623871437126","scroll","-","-","-","0x1572"
